City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,waipawa,-41.4122,175.5153,13.28,75,99,3.79,NZ,1681441818
84,narsaq,60.9167,-46.05,-0.89,70,100,3.35,GL,1681441805
85,hami,42.8,93.45,13.92,30,26,1.31,CN,1681442021
86,atar,20.5169,-13.0499,28.3,43,71,2.13,MR,1681441707
87,lata,40.1629,-8.3327,8.93,93,100,0.63,PT,1681441729
88,karratha,-20.7377,116.8463,30.77,35,87,8.85,AU,1681442022
89,rayong,12.8333,101.4333,34.35,61,93,4.54,TH,1681442022
90,new norfolk,-42.7826,147.0587,16.07,44,0,2.22,AU,1681441723
91,chuy,-33.6971,-53.4616,12.41,71,4,3.11,UY,1681441726
92,aguimes,27.9054,-15.4461,17.35,72,75,9.26,ES,1681441892
93,los llanos de aridane,28.6585,-17.9182,18.4,52,100,5.66,ES,1681442024
94,spas-klepiki,55.1347,40.1767,0.59,62,94,7.27,RU,1681442024
95,puerto narino,-3.7703,-70.3831,23.22,96,100,0.59,CO,1681442024
96,vangazi,57.0936,24.5486,10.42,64,99,4.56,LV,1681442025
97,port elizabeth,-33.918,25.5701,18.16,84,0,10.29,ZA,1681441806
98,erenhot,43.6475,111.9767,2.86,21,0,12.9,CN,1681442025
99,camacupa,-12.0167,17.4833,14.81,96,70,1.3,AO,1681442025
100,zainsk,55.3195,52.0694,-2.45,57,100,10.83,RU,1681442025
101,gat,31.61,34.7642,11.89,100,0,1.66,IL,1681441901
102,saint-philippe,-21.3585,55.7679,24.77,84,95,0.51,RE,1681441784
103,houston,29.7633,-95.3633,21.74,74,100,5.14,US,1681441270
104,provideniya,64.3833,-173.3,-9.8,52,0,3.13,RU,1681441737
105,ixtapa,20.7,-105.2,22.57,68,0,1.03,MX,1681442027
106,blind river,46.1834,-82.9582,11.39,87,94,1.91,CA,1681442027
107,talara,-4.5772,-81.2719,26.97,79,100,4.1,PE,1681442027
108,bredasdorp,-34.5322,20.0403,13.38,67,47,3.32,ZA,1681441849
109,lebu,-37.6167,-73.65,12.93,95,90,0.2,CL,1681441991
110,marzuq,14.4,46.4667,21.0,75,64,2.48,YE,1681441852
111,constitucion,-35.3333,-72.4167,12.47,93,100,2.74,CL,1681441857
112,kavieng,-2.5744,150.7967,28.57,78,45,7.22,PG,1681441884
113,mount gambier,-37.8333,140.7667,21.86,50,24,5.27,AU,1681441921
114,kapaa,22.0752,-159.319,26.99,78,100,9.26,US,1681441732
115,toamasina,-18.1667,49.3833,24.0,94,40,2.57,MG,1681442029
116,bluff,-46.6,168.3333,16.09,70,0,5.66,NZ,1681441728
117,cherskiy,68.75,161.3,-11.03,77,7,3.29,RU,1681441875
118,kodiak,57.79,-152.4072,1.73,87,100,2.57,US,1681441734
119,kudahuvadhoo,2.6708,72.8944,28.37,69,13,0.88,MV,1681441906
120,saint george,37.1041,-113.5841,19.33,30,75,2.06,US,1681441914
121,kushmurun,52.4503,64.6311,3.79,86,100,9.52,KZ,1681442030
122,caravelas,-17.7125,-39.2481,23.79,91,11,2.18,BR,1681441847
